# dx dy dz dw dx dy dz ref_color ref_depth loc_color loc_depth 
0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png
-0.420043 -0.079247 0.000000 0.993514 0.000000 0.000000 0.113709 home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png
-0.431593 -0.091790 0.000000 0.993042 0.000000 0.000000 0.117763 home1-2/color/1560100061.622854.png home1-2/aligned_depth/1560100061.622848.png home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png
-0.479361 -0.109649 0.000000 0.990485 0.000000 0.000000 0.137622 home1-2/color/1560100061.789704.png home1-2/aligned_depth/1560100061.789698.png home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png
-0.570680 -0.166492 0.000000 0.983326 0.000000 0.000000 0.181849 home1-2/color/1560100062.053848.png home1-2/aligned_depth/1560100062.053842.png home1-2/color/1560100060.520865.png home1-2/aligned_depth/1560100060.520860.png
0.000000 -0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
-0.012211 -0.009116 0.000000 0.999992 0.000000 0.000000 0.004082 home1-2/color/1560100061.622854.png home1-2/aligned_depth/1560100061.622848.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
-0.063626 -0.010251 0.000000 0.999709 0.000000 0.000000 0.024103 home1-2/color/1560100061.789704.png home1-2/aligned_depth/1560100061.789698.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
-0.165508 -0.030288 0.000000 0.997627 0.000000 0.000000 0.068857 home1-2/color/1560100062.053848.png home1-2/aligned_depth/1560100062.053842.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
-0.261290 -0.077219 0.000000 0.989141 0.000000 0.000000 0.146971 home1-2/color/1560100062.387456.png home1-2/aligned_depth/1560100062.387450.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
-0.299378 -0.102969 0.000000 0.981473 0.000000 0.000000 0.191599 home1-2/color/1560100062.520899.png home1-2/aligned_depth/1560100062.520893.png home1-2/color/1560100061.556114.png home1-2/aligned_depth/1560100061.556108.png
