# dx dy dz dw dx dy dz ref_color ref_depth loc_color loc_depth 
-0.331600 -0.067749 0.000000 0.999818 0.000000 0.000000 -0.019096 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.059235.png home1-3/aligned_depth/1560200044.059228.png 
-0.865151 -0.150412 0.000000 0.999555 0.000000 0.000000 0.029838 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.059235.png home1-3/aligned_depth/1560200044.059228.png 
0.216930 -0.042684 0.000000 0.999840 0.000000 0.000000 -0.017899 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.059235.png home1-3/aligned_depth/1560200044.059228.png 
-1.342469 -0.326883 0.000000 0.995092 0.000000 0.000000 0.098949 home1-2/color/1560100098.542127.png home1-2/aligned_depth/1560100098.542121.png home1-3/color/1560200044.059235.png home1-3/aligned_depth/1560200044.059228.png 
-0.310187 -0.064522 0.000000 0.999792 0.000000 0.000000 -0.020371 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.125886.png home1-3/aligned_depth/1560200044.125879.png 
-0.777502 -0.149992 0.000000 0.999691 0.000000 0.000000 0.024876 home1-2/color/1560100096.936559.png home1-2/aligned_depth/1560100096.936553.png home1-3/color/1560200044.125886.png home1-3/aligned_depth/1560200044.125879.png 
0.238335 -0.039405 0.000000 0.999816 0.000000 0.000000 -0.019173 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.125886.png home1-3/aligned_depth/1560200044.125879.png 
-1.322408 -0.318730 0.000000 0.995218 0.000000 0.000000 0.097681 home1-2/color/1560100098.542127.png home1-2/aligned_depth/1560100098.542121.png home1-3/color/1560200044.125886.png home1-3/aligned_depth/1560200044.125879.png 
0.992103 -0.012017 0.000000 0.999743 0.000000 0.000000 -0.022653 home1-2/color/1560100094.271219.png home1-2/aligned_depth/1560100094.271213.png home1-3/color/1560200044.125886.png home1-3/aligned_depth/1560200044.125879.png 
-0.272095 -0.065476 0.000000 0.999772 0.000000 0.000000 -0.021370 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.192537.png home1-3/aligned_depth/1560200044.192530.png 
-0.739479 -0.147500 0.000000 0.999715 0.000000 0.000000 0.023877 home1-2/color/1560100096.936559.png home1-2/aligned_depth/1560100096.936553.png home1-3/color/1560200044.192537.png home1-3/aligned_depth/1560200044.192530.png 
0.276429 -0.040268 0.000000 0.999797 0.000000 0.000000 -0.020173 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.192537.png home1-3/aligned_depth/1560200044.192530.png 
-1.277912 -0.306640 0.000000 0.995942 0.000000 0.000000 0.089998 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.192537.png home1-3/aligned_depth/1560200044.192530.png 
-0.262294 -0.066105 0.000000 0.999761 0.000000 0.000000 -0.021884 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.225863.png home1-3/aligned_depth/1560200044.225856.png 
-0.796337 -0.142002 0.000000 0.999634 0.000000 0.000000 0.027050 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.225863.png home1-3/aligned_depth/1560200044.225856.png 
0.286232 -0.040873 0.000000 0.999786 0.000000 0.000000 -0.020687 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.225863.png home1-3/aligned_depth/1560200044.225856.png 
-1.268215 -0.305086 0.000000 0.995988 0.000000 0.000000 0.089485 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.225863.png home1-3/aligned_depth/1560200044.225856.png 
-0.248917 -0.066673 0.000000 0.999754 0.000000 0.000000 -0.022202 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.258291.png home1-3/aligned_depth/1560200044.259181.png 
-0.862917 -0.162766 0.000000 0.999422 0.000000 0.000000 0.033991 home1-2/color/1560100097.239227.png home1-2/aligned_depth/1560100097.239221.png home1-3/color/1560200044.258291.png home1-3/aligned_depth/1560200044.259181.png 
0.299610 -0.041410 0.000000 0.999779 0.000000 0.000000 -0.021004 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.258291.png home1-3/aligned_depth/1560200044.259181.png 
-1.255043 -0.302683 0.000000 0.996016 0.000000 0.000000 0.089169 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.258291.png home1-3/aligned_depth/1560200044.259181.png 
-0.219141 -0.068100 0.000000 0.999737 0.000000 0.000000 -0.022940 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.324929.png home1-3/aligned_depth/1560200044.324922.png 
-0.753196 -0.139771 0.000000 0.999662 0.000000 0.000000 0.025994 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.324929.png home1-3/aligned_depth/1560200044.324922.png 
-1.225690 -0.297489 0.000000 0.996082 0.000000 0.000000 0.088433 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.324929.png home1-3/aligned_depth/1560200044.324922.png 
0.329389 -0.042765 0.000000 0.999764 0.000000 0.000000 -0.021743 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.324929.png home1-3/aligned_depth/1560200044.324922.png 
-0.189871 -0.073527 0.000000 0.999788 0.000000 0.000000 -0.020598 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.391567.png home1-3/aligned_depth/1560200044.391560.png 
-0.723536 -0.142312 0.000000 0.999598 0.000000 0.000000 0.028337 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.391567.png home1-3/aligned_depth/1560200044.391560.png 
0.358672 -0.048122 0.000000 0.999812 0.000000 0.000000 -0.019400 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.391567.png home1-3/aligned_depth/1560200044.391560.png 
-1.195944 -0.296310 0.000000 0.995872 0.000000 0.000000 0.090767 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.391567.png home1-3/aligned_depth/1560200044.391560.png 
-0.166513 -0.070848 0.000000 0.999784 0.000000 0.000000 -0.020761 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.458205.png home1-3/aligned_depth/1560200044.458198.png 
-0.700551 -0.137363 0.000000 0.999603 0.000000 0.000000 0.028173 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.458205.png home1-3/aligned_depth/1560200044.458198.png 
-1.145361 -0.259265 0.000000 0.996546 0.000000 0.000000 0.083041 home1-2/color/1560100098.342001.png home1-2/aligned_depth/1560100098.341995.png home1-3/color/1560200044.458205.png home1-3/aligned_depth/1560200044.458198.png 
0.382023 -0.045387 0.000000 0.999809 0.000000 0.000000 -0.019564 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.458205.png home1-3/aligned_depth/1560200044.458198.png 
-0.157128 -0.071213 0.000000 0.999782 0.000000 0.000000 -0.020887 home1-2/color/1560100096.169802.png home1-2/aligned_depth/1560100096.169796.png home1-3/color/1560200044.491524.png home1-3/aligned_depth/1560200044.491517.png 
-0.691176 -0.136810 0.000000 0.999607 0.000000 0.000000 0.028048 home1-2/color/1560100097.103245.png home1-2/aligned_depth/1560100097.103240.png home1-3/color/1560200044.491524.png home1-3/aligned_depth/1560200044.491517.png 
-1.164523 -0.286812 0.000000 0.995898 0.000000 0.000000 0.090479 home1-2/color/1560100098.442064.png home1-2/aligned_depth/1560100098.442058.png home1-3/color/1560200044.491524.png home1-3/aligned_depth/1560200044.491517.png 
0.391409 -0.045730 0.000000 0.999806 0.000000 0.000000 -0.019689 home1-2/color/1560100095.371940.png home1-2/aligned_depth/1560100095.371934.png home1-3/color/1560200044.491524.png home1-3/aligned_depth/1560200044.491517.png 
