# dx dy dz dw dx dy dz ref_color ref_depth loc_color loc_depth 
-0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png
0.005805 0.001033 -0.000094 0.999910 0.000018 -0.000269 0.013430 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000111.271274.png office1-3/aligned_depth/1560000111.271268.png
0.005336 0.000738 0.000106 0.999938 -0.000024 0.000379 0.011101 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000111.604906.png office1-3/aligned_depth/1560000111.604900.png
0.004346 0.000617 -0.000143 0.999952 -0.000025 -0.000189 0.009834 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000111.937372.png office1-3/aligned_depth/1560000111.937366.png
0.005064 0.000516 -0.000150 0.999951 -0.000106 -0.000209 0.009900 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000112.270964.png office1-3/aligned_depth/1560000112.270958.png
0.004483 0.000642 -0.000025 0.999942 -0.000045 0.000033 0.010739 office1-3/color/1560000110.937641.png office1-3/aligned_depth/1560000110.937635.png office1-3/color/1560000112.604555.png office1-3/aligned_depth/1560000112.604549.png
0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png
0.004865 0.001127 -0.000064 0.999917 0.000086 -0.000348 0.012898 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000111.304637.png office1-3/aligned_depth/1560000111.304631.png
0.004915 0.000930 0.000032 0.999946 0.000113 -0.000059 0.010406 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000111.637140.png office1-3/aligned_depth/1560000111.637134.png
0.003606 0.000809 -0.000164 0.999960 0.000111 -0.000481 0.008942 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000111.970731.png office1-3/aligned_depth/1560000111.970726.png
0.004082 0.000777 -0.000115 0.999958 0.000071 -0.000395 0.009155 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000112.304323.png office1-3/aligned_depth/1560000112.304317.png
0.003612 0.000763 -0.000013 0.999949 0.000048 -0.000102 0.010091 office1-3/color/1560000110.971004.png office1-3/aligned_depth/1560000110.970998.png office1-3/color/1560000112.640090.png office1-3/aligned_depth/1560000112.640084.png
-0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.000000 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png
0.005192 0.001315 -0.000315 0.999934 0.000172 -0.001006 0.011463 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000111.338000.png office1-3/aligned_depth/1560000111.337994.png
0.004509 0.001012 -0.000134 0.999956 0.000135 -0.000467 0.009349 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000111.670499.png office1-3/aligned_depth/1560000111.670493.png
0.003359 0.000929 -0.000304 0.999969 0.000170 -0.000866 0.007786 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000112.004091.png office1-3/aligned_depth/1560000112.004085.png
0.003450 0.000897 -0.000239 0.999966 0.000126 -0.000685 0.008211 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000112.337682.png office1-3/aligned_depth/1560000112.337676.png
0.003488 0.000941 -0.000190 0.999958 0.000115 -0.000602 0.009100 office1-3/color/1560000111.004368.png office1-3/aligned_depth/1560000111.004362.png office1-3/color/1560000112.673466.png office1-3/aligned_depth/1560000112.673460.png
-0.000000 -0.000000 -0.000000 1.000000 0.000000 0.000000 0.000000 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png
0.002413 0.000930 0.000038 0.999953 0.000057 0.000100 0.009679 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000111.371364.png office1-3/aligned_depth/1560000111.371357.png
0.001723 0.000679 0.000137 0.999967 0.000002 0.000449 0.008146 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000111.703858.png office1-3/aligned_depth/1560000111.703852.png
0.001112 0.000657 -0.000067 0.999977 0.000046 -0.000024 0.006715 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000112.037450.png office1-3/aligned_depth/1560000112.037444.png
0.000984 0.000542 -0.000015 0.999974 -0.000040 0.000083 0.007175 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000112.371041.png office1-3/aligned_depth/1560000112.371035.png
0.000549 0.000671 0.000144 0.999968 0.000008 0.000499 0.008018 office1-3/color/1560000111.037731.png office1-3/aligned_depth/1560000111.037725.png office1-3/color/1560000112.706842.png office1-3/aligned_depth/1560000112.706836.png
-0.000000 -0.000000 -0.000000 1.000000 0.000000 0.000000 0.000000 office1-3/color/1560000111.071094.png office1-3/aligned_depth/1560000111.071088.png office1-3/color/1560000111.071094.png office1-3/aligned_depth/1560000111.071088.png
0.002530 0.000419 -0.000082 0.999971 -0.000117 -0.000297 0.007562 office1-3/color/1560000111.071094.png office1-3/aligned_depth/1560000111.071088.png office1-3/color/1560000111.404727.png office1-3/aligned_depth/1560000111.404721.png
0.001932 0.000158 -0.000096 0.999978 -0.000218 -0.000164 0.006553 office1-3/color/1560000111.071094.png office1-3/aligned_depth/1560000111.071088.png office1-3/color/1560000111.737217.png office1-3/aligned_depth/1560000111.737211.png
0.001258 0.000188 -0.000200 0.999985 -0.000189 -0.000446 0.005486 office1-3/color/1560000111.071094.png office1-3/aligned_depth/1560000111.071088.png office1-3/color/1560000112.070809.png office1-3/aligned_depth/1560000112.070803.png
